action_taken,action_taken_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_name_1,applicant_sex,applicant_sex_name,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_name_1,co_applicant_sex,co_applicant_sex_name,county_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,owner_occupancy,owner_occupancy_name,preapproval,property_type,property_type_name,purchaser_type,purchaser_type_name,,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,population
1,Loan originated,2,Not Hispanic or Latino,60,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Oneida County,1,Home purchase,4,FSA/RHS-guaranteed,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,281,63000,88,2759,2210,7122
1,Loan originated,2,Not Hispanic or Latino,96,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Clinton County,1,Home purchase,3,VA-guaranteed,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",2636,60000,237,3039,2533,6998
1,Loan originated,2,Not Hispanic or Latino,106,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Erie County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),8864,69000,116,2511,2090,6284
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",5,No co-applicant,8,No co-applicant,5,No co-applicant,Kings County,3,Refinancing,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,1825,71300,560,948,251,3822
1,Loan originated,2,Not Hispanic or Latino,129,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Kings County,2,Home improvement,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),155119,71300,800,767,440,2364
1,Loan originated,2,Not Hispanic or Latino,109,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Onondaga County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,499,68500,108,942,941,2784
1,Loan originated,2,Not Hispanic or Latino,56,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Queens County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,1,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,106995,71300,112,360,872,3670
1,Loan originated,2,Not Hispanic or Latino,174,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Westchester County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),8866,71300,440,919,815,2886
1,Loan originated,2,Not Hispanic or Latino,39,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Clinton County,1,Home purchase,4,FSA/RHS-guaranteed,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",2303,60000,124,2626,1969,6479
1,Loan originated,2,Not Hispanic or Latino,52,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Schenectady County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),8874,82700,106,1926,1426,4935
1,Loan originated,2,Not Hispanic or Latino,573,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,New York County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,155057,71300,2000,136,2470,12444
1,Loan originated,2,Not Hispanic or Latino,336,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Westchester County,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,1,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,107001,71300,570,1422,1231,4452
1,Loan originated,2,Not Hispanic or Latino,58,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Richmond County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),8877,71300,125,1104,790,3925
1,Loan originated,2,Not Hispanic or Latino,109,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Westchester County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,106589,71300,179,1725,1740,5406
1,Loan originated,2,Not Hispanic or Latino,138,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Suffolk County,3,Refinancing,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),8904,109000,270,1712,1542,4773
1,Loan originated,2,Not Hispanic or Latino,123,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Westchester County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),8905,71300,248,1419,1662,6514
1,Loan originated,2,Not Hispanic or Latino,185,2,Asian,1,Male,2,Not Hispanic or Latino,2,Asian,2,Female,Rockland County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),3077,71300,365,1818,1374,5432
1,Loan originated,2,Not Hispanic or Latino,206,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,2,Not Hispanic or Latino,6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,New York County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,8895,71300,575,184,275,6617
1,Loan originated,2,Not Hispanic or Latino,525,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Suffolk County,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,329052,109000,883,6345,2505,6410
1,Loan originated,2,Not Hispanic or Latino,78,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Erie County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),8910,69000,131,2135,1807,5334
1,Loan originated,2,Not Hispanic or Latino,120,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Westchester County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),8908,71300,380,1870,1850,5589
1,Loan originated,2,Not Hispanic or Latino,87,2,Asian,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Queens County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),104519,71300,400,1327,721,4101
1,Loan originated,2,Not Hispanic or Latino,128,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Schenectady County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),8927,82700,220,957,767,3081
1,Loan originated,2,Not Hispanic or Latino,,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Essex County,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,270,60000,8,1671,527,1485
1,Loan originated,2,Not Hispanic or Latino,109,2,Asian,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Albany County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,9102,82700,215,1068,905,4277
1,Loan originated,1,Hispanic or Latino,67,3,Black or African American,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Westchester County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),8936,71300,112,920,1213,6216
1,Loan originated,2,Not Hispanic or Latino,22,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Kings County,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,2147,71300,569,1950,1350,7628
1,Loan originated,2,Not Hispanic or Latino,73,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Richmond County,3,Refinancing,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),8928,71300,180,3115,2598,8977
1,Loan originated,2,Not Hispanic or Latino,500,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Nassau County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,329063,109000,1640,1534,1336,4435
1,Loan originated,2,Not Hispanic or Latino,120,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Albany County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),9228,82700,160,2809,2033,6545
1,Loan originated,2,Not Hispanic or Latino,103,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Nassau County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),8946,109000,200,2153,2163,6482
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",5,No co-applicant,8,No co-applicant,5,No co-applicant,Kings County,3,Refinancing,1,Conventional,2,Not owner-occupied as a principal dwelling,3,3,Multifamily dwelling,9,Other type of purchaser,2173,71300,1200,964,386,2813
1,Loan originated,2,Not Hispanic or Latino,119,5,White,1,Male,1,Hispanic or Latino,5,White,2,Female,Nassau County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),8951,109000,264,1900,1725,6160
1,Loan originated,2,Not Hispanic or Latino,87,1,American Indian or Alaska Native,2,Female,2,Not Hispanic or Latino,1,American Indian or Alaska Native,1,Male,Erie County,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,3,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,36958,69000,36,807,526,1836
1,Loan originated,2,Not Hispanic or Latino,178,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Queens County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,9301,71300,50,1510,917,3971
1,Loan originated,2,Not Hispanic or Latino,136,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Richmond County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,8967,71300,400,3115,2598,8977
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",5,No co-applicant,8,No co-applicant,5,No co-applicant,Suffolk County,3,Refinancing,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,2181,109000,217,712,601,3690
1,Loan originated,1,Hispanic or Latino,67,5,White,1,Male,1,Hispanic or Latino,5,White,2,Female,Ulster County,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,1154978,75200,20,1528,1150,3411
1,Loan originated,2,Not Hispanic or Latino,389,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Suffolk County,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,329084,109000,453,3870,2206,5748
1,Loan originated,2,Not Hispanic or Latino,57,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Schoharie County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),9312,82700,70,2125,1431,5359
1,Loan originated,2,Not Hispanic or Latino,141,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Nassau County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),9078,109000,417,2053,1887,6838
1,Loan originated,1,Hispanic or Latino,74,5,White,1,Male,1,Hispanic or Latino,5,White,2,Female,Queens County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,1,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,107128,71300,177,1707,1669,4102
1,Loan originated,2,Not Hispanic or Latino,79,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Richmond County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),8989,71300,310,2103,1748,5333
1,Loan originated,2,Not Hispanic or Latino,103,5,White,2,Female,2,Not Hispanic or Latino,5,White,1,Male,Rockland County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),126788,71300,174,1152,813,3013
1,Loan originated,2,Not Hispanic or Latino,115,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Queens County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,9341,71300,555,2075,1063,6151
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",45,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",5,No co-applicant,8,No co-applicant,5,No co-applicant,Richmond County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),9086,71300,218,1662,1360,4968
1,Loan originated,2,Not Hispanic or Latino,108,2,Asian,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Queens County,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,2258,71300,506,1037,454,5223
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",94,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Richmond County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),9082,71300,230,1354,1214,3836
1,Loan originated,2,Not Hispanic or Latino,88,2,Asian,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,New York County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,106745,71300,46,98,1033,10330
1,Loan originated,1,Hispanic or Latino,187,5,White,2,Female,2,Not Hispanic or Latino,5,White,1,Male,Albany County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,2231,82700,35,806,790,2124
1,Loan originated,2,Not Hispanic or Latino,687,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Nassau County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,9111,109000,1682,1891,1882,5332
1,Loan originated,1,Hispanic or Latino,66,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,3,"Information not provided by applicant in mail, Internet, or telephone application",5,White,2,Female,Dutchess County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,37462,95200,47,1422,1298,3997
1,Loan originated,2,Not Hispanic or Latino,44,3,Black or African American,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Niagara County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),9127,69000,44,1442,718,2837
1,Loan originated,1,Hispanic or Latino,,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Bronx County,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,1893,71300,168,133,60,6019
1,Loan originated,2,Not Hispanic or Latino,102,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Saratoga County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,1616,82700,105,1782,1679,5238
1,Loan originated,2,Not Hispanic or Latino,100,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,New York County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,9163,71300,416,25,704,3434
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",5,No co-applicant,8,No co-applicant,5,No co-applicant,Nassau County,3,Refinancing,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,2336,109000,476,1579,1050,5073
1,Loan originated,2,Not Hispanic or Latino,87,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Westchester County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),9253,71300,278,1508,1285,5397
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",5,No co-applicant,8,No co-applicant,5,No co-applicant,Kings County,3,Refinancing,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,1900,71300,334,720,242,4360
1,Loan originated,2,Not Hispanic or Latino,37,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Saratoga County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,1926,82700,50,1422,1150,4367
1,Loan originated,2,Not Hispanic or Latino,68,5,White,1,Male,5,No co-applicant,8,No co-applicant,5,No co-applicant,Warren County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),9251,65400,288,2652,1179,3515
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",5,No co-applicant,8,No co-applicant,5,No co-applicant,Nassau County,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,2351,109000,163,1151,854,4004
1,Loan originated,1,Hispanic or Latino,73,3,Black or African American,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Kings County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),9261,71300,304,633,393,1809
1,Loan originated,2,Not Hispanic or Latino,,2,Asian,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,New York County,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,2029,71300,699,462,1357,9151
1,Loan originated,2,Not Hispanic or Latino,207,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Richmond County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,9406,71300,626,2470,2259,7001
1,Loan originated,2,Not Hispanic or Latino,71,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Albany County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,9281,82700,182,3096,2577,6579
1,Loan originated,2,Not Hispanic or Latino,60,5,White,2,Female,5,No co-applicant,8,No co-applicant,5,No co-applicant,Westchester County,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",1882,71300,153,1330,746,7065
1,Loan originated,2,Not Hispanic or Latino,169,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Nassau County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),9302,109000,312,1547,1455,4671
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",5,No co-applicant,8,No co-applicant,5,No co-applicant,Kings County,3,Refinancing,1,Conventional,2,Not owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),9,Other type of purchaser,2052,71300,361,522,223,2148
1,Loan originated,2,Not Hispanic or Latino,106,5,White,1,Male,2,Not Hispanic or Latino,5,White,2,Female,Saratoga County,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),9432,82700,111,2590,2142,6618
1,Loan originated,3,"Information not provided by applicant in mail, Internet, or telephone application",82,6,"Information not provided by applicant in mail, Internet, or telephone application",2,Female,1,Hispanic or Latino,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,Westchester County,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,1155329,71300,15,1375,1008,3824
